model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,cka,0.8972651243209839,0.8874144062399865,0.909730251133442,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,rsa_spearman,0.6887048489622285,0.627534380643689,0.7395349434975859,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,cka,0.9515518888831138,0.9459948316216469,0.9577231749892234,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,rsa_spearman,0.6359887515752525,0.6002498080229327,0.6727101578334308,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,cka,0.8953398942947388,0.8850002095103264,0.9056620493531227,40,180
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,rsa_spearman,0.7898736226226689,0.753878234453298,0.8200187729084176,40,180
gemma2_2b,gemma2_2b_it,layer_0,cka,0.9999951243400573,0.9999936714768409,0.9999963223934174,40,180
gemma2_2b,gemma2_2b_it,layer_0,rsa_spearman,0.9999571466350063,0.9999460253978185,0.9999661422986349,40,180
gemma2_2b,gemma2_2b_it,layer_12,cka,0.9525633171200752,0.9420221954584121,0.9610368967056274,40,180
gemma2_2b,gemma2_2b_it,layer_12,rsa_spearman,0.9202977939813202,0.8995484735573607,0.9463430125061554,40,180
gemma2_2b,gemma2_2b_it,layer_4,cka,0.9823820859193801,0.9798037156462669,0.9860653549432754,40,180
gemma2_2b,gemma2_2b_it,layer_4,rsa_spearman,0.8979215920534085,0.884614583117759,0.9152258819802265,40,180
gemma2_2b,gemma2_2b_it,layer_8,cka,0.9799818396568298,0.9770380064845086,0.9829928681254387,40,180
gemma2_2b,gemma2_2b_it,layer_8,rsa_spearman,0.9359858652046367,0.9218183004572581,0.9495264445162976,40,180
gemma2_2b,gemma3_1b_it,layer_0,cka,0.988956905901432,0.987030416727066,0.9905069470405579,40,180
gemma2_2b,gemma3_1b_it,layer_0,rsa_spearman,0.8538340428295884,0.8316243357333998,0.8755489585111652,40,180
